"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AG1","AJ1","AY1","AY2","GA1","GD1","GD2","GD3","GD4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","MW2","OC1","REM","EQD"
"76412099999","2003-01-02T03:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","270,1,N,0010,1","22000,1,9,N","010000,1,N,1","+0193,1","+0125,1","10160,1","06,0000,9,1",,,,,,"00,1,+99999,9,99,9",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,,,"99999,9,10115,1","2,1,034,1,+000,1",,,,"SYN082AAXX  02030 76412 32960 02701 10193 20125 30115 40160 52034 90235 333 30/// 58000;","Q01  00002PRCP06"
"76412099999","2003-01-02T06:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","010000,1,N,1","+0160,1","+0127,1","10164,1","06,0000,9,1",,,,,,"00,1,+99999,9,99,9",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1","0600,9","01,9",,"240,M,+0290,1","240,N,+0075,1","99999,9,10119,1","2,1,004,1,+000,1",,,,"SYN100AAXX  02060 76412 32960 00000 10160 20127 30119 40164 52004 90535 333 10290 20075 30/// 55100 58000;","Q01  00002PRCP06"
"76412099999","2003-01-02T08:50:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-15","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","048280,1,N,1","+9999,9","+9999,9","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10125,1,99999,9",,"00,1",,,"MET044MMCL 020850Z 00000KT 30SM SKC /// A2990 RMK;","Q01+000000PRSWM2"
"76412099999","2003-01-02T12:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","010000,1,N,1","+0110,1","+0093,1","10136,1","06,0000,9,1","24,0000,9,1",,,,,"00,1,+99999,9,99,9",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"999,M,+0290,1","120,N,+0086,1","99999,9,10090,1","7,1,001,1,+000,1",,,,"SYN100AAXX  02120 76412 32960 00000 10110 20093 30090 40136 57001 91135 333 10290 20086 30/// 58000 70000;","Q01  00002PRCP06Q02  00002PRCP24"
"76412099999","2003-01-02T13:42:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","016093,1,N,1","+0110,1","+0070,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10132,1,99999,9",,"00,1",,,"MET048METAR MMCL 021342Z 00000KT 10SM SKC 11/07 A2992;","Q01+000000PRSWM2"
"76412099999","2003-01-02T14:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0130,1","+0070,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10139,1,99999,9",,"00,1",,,"MET041MMCL 021440Z 00000KT 20SM SKC 13/07A2994;","Q01+000000PRSWM2"
"76412099999","2003-01-02T15:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","016000,1,N,1","+0108,1","+0086,1","10160,1","06,0000,9,1",,,,"4,1,03,1","4,1,03,1","00,1,+99999,9,99,9",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,,"99999,9,10114,1","2,1,024,1,+999,9","05,1",,,"SYN072AAXX  02150 76412 31966 00000 10108 20086 30114 40160 52024 70544 91435;","Q01  00002PRCP06"
"76412099999","2003-01-02T15:42:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0180,1","+0070,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10149,1,99999,9",,"00,1",,,"MET048METAR MMCL 021542Z 00000KT 20SM SKC 18/07 A2997;","Q01+000000PRSWM2"
"76412099999","2003-01-02T16:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0220,1","+0090,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10152,1,99999,9",,"00,1",,,"MET048METAR MMCL 021640Z 00000KT 20SM SKC 22/09 A2998;","Q01+000000PRSWM2"
"76412099999","2003-01-02T17:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0250,1","+0080,1","10111,1",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10149,1,99999,9",,"00,1",,,"MET057MMCL 021740Z 00000KT 20SM SKC 25/08 A2997 RMK SLP111 911;","Q01+000000PRSWM2"
"76412099999","2003-01-02T18:00:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-12","MMCL ","V020","360,1,N,0010,1","22000,1,9,N","016000,1,N,1","+0220,1","+0121,1","10168,2","06,0000,9,1",,,,"4,1,06,1","4,1,06,1","00,1,+99999,9,99,9",,,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"01,9",,"120,M,+0225,1","240,N,+0086,1","99999,9,10124,1","2,1,010,1,+010,1","05,1",,,"SYN100AAXX  02180 76412 31966 03601 10220 20121 30124 40168 52010 70544 91745 333 10225 20086 30/// 58010;","Q01+101683APOSLPQ02  00002PRCP06"
"76412099999","2003-01-02T18:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,C,0000,1","22000,1,9,N","032186,1,N,1","+0260,1","+0140,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10139,1,99999,9",,"00,1",,,"MET049MMCL 021840Z 00000KT 20SM SKC 26/14 A2994 PRESFR;","Q01+000000PRSWM2"
"76412099999","2003-01-02T19:40:00","4","24.764547","-107.474717","32.91","CULIACAN INTERNATIONAL, MX","FM-16","MMCL ","V020","999,9,9,9999,9","22000,1,9,N","032186,1,N,1","+0280,1","+0120,1","99999,9",,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,"10129,1,99999,9",,"00,1",,,"MET051MMCL 021940Z 32005 20SM SKC 28/12 A2991 RMK PRESFR;","Q01+000000PRSWM2"
