"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","REM","EQD"
"76361599999","2020-01-02T14:50:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","016093,1,9,9","+0120,1","+0100,1","10126,1",,"02,1,+03048,1,03,1",,,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9","10125,1,99999,9",,,"MET068METAR MMLM 021450Z 00000KT 10SM FEW100 12/10 A2990 RMK SLP126 8/030=",
"76361599999","2020-01-02T15:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","070,1,N,0026,1","22000,1,9,N","016093,1,9,9","+0150,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10135,1,99999,9",,,"MET063METAR MMLM 021544Z 07005KT 10SM SKC 15/12 A2993 RMK ISOL CU/AC=",
"76361599999","2020-01-02T16:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","040,1,N,0026,1","00457,1,C,N","016093,1,9,9","+0180,1","+0130,1","99999,9",,"07,1,+00457,1,06,1","07,1,+00914,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10149,1,99999,9",,,"MET076METAR MMLM 021645Z 04005KT 10SM BKN015 BKN030 18/13 A2997 RMK 8/400 ISOL CI=",
"76361599999","2020-01-02T17:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","00457,1,C,N","016093,1,9,9","+0200,1","+0120,1","10149,1",,"07,1,+00457,1,09,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10149,1,99999,9",,,"MET070METAR MMLM 021743Z 00000KT 10SM BKN015CB 20/12 A2997 RMK SLP149 8/300=",
"76361599999","2020-01-02T18:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","00457,1,C,N","016093,1,9,9","+0200,1","+0120,1","99999,9",,"07,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10139,1,99999,9",,,"MET072METAR MMLM 021840Z 00000KT 10SM BKN015 20/12 A2994 RMK 8/800 OCNL DROPS=",
"76361599999","2020-01-02T19:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0057,1","00457,1,C,N","016093,1,9,9","+0210,1","+0100,1","99999,9",,"07,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10125,1,99999,9",,,"MET072METAR MMLM 021940Z 21011KT 10SM BKN015TCU 21/10 A2990 RMK 8/200 ISOL AC=",
"76361599999","2020-01-02T20:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0072,1","00457,1,C,N","016093,1,9,9","+0210,1","+0100,1","10122,1",,"07,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00457,1,99,9,99,9","10122,1,99999,9",,,"MET068METAR MMLM 022040Z 21014KT 10SM BKN015 21/10 A2989 RMK SLP122 8/100=",
"76361599999","2020-01-02T21:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","210,1,N,0051,1","99999,9,9,N","016093,1,9,9","+0210,1","+0080,1","99999,9",,"04,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10118,1,99999,9",,,"MET061METAR MMLM 022141Z 21010KT 10SM SCT015 21/08 A2988 RMK 8/100=",
"76361599999","2020-01-02T22:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","190,1,N,0057,1","99999,9,9,N","016093,1,9,9","+0210,1","+0100,1","99999,9",,"04,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10118,1,99999,9",,,"MET061METAR MMLM 022240Z 19011KT 10SM SCT015 21/10 A2988 RMK 8/100=",
"76361599999","2020-01-02T23:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","190,1,N,0051,1","99999,9,9,N","016093,1,9,9","+0200,1","+0100,1","10122,1",,"04,1,+00457,1,08,1",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9","10122,1,99999,9",,,"MET068METAR MMLM 022341Z 19010KT 10SM SCT015 20/10 A2989 RMK SLP122 8/100=",
"76361599999","2020-01-03T00:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","250,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0190,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10129,1,99999,9",,,"MET060METAR MMLM 030041Z 25009KT 10SM SKC 19/11 A2991 RMK ISOL CU=",
"76361599999","2020-01-03T01:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","270,1,N,0026,1","22000,1,9,N","016093,1,9,9","+0180,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10139,1,99999,9",,,"MET048METAR MMLM 030143Z 27005KT 10SM SKC 18/11 A2994=",
"76361599999","2020-01-03T02:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","016093,1,9,9","+0170,1","+0110,1","10149,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10149,1,99999,9",,,"MET059METAR MMLM 030244Z 00000KT 10SM SKC 17/11 A2997 RMK SLP149=",
"76361599999","2020-01-03T03:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","016093,1,9,9","+0150,1","+0090,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10152,1,99999,9",,,"MET048METAR MMLM 030340Z 00000KT 10SM SKC 15/09 A2998=",
"76361599999","2020-01-03T04:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","016093,1,9,9","+0150,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10159,1,99999,9",,,"MET048METAR MMLM 030440Z 00000KT 10SM SKC 15/10 A3000=",
"76361599999","2020-01-03T14:03:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","012875,1,9,9","+0100,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10196,1,99999,9",,,"MET063METAR MMLM 031403Z RTD 00000KT 8SM SKC 10/08 A3011 RMK HZY RTS=",
"76361599999","2020-01-03T14:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","012875,1,9,9","+0120,1","+0080,1","10191,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9",,,"MET063METAR MMLM 031442Z 00000KT 8SM SKC 12/08 A3012 RMK SLP1910 HZY=",
"76361599999","2020-01-03T15:51:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","016093,1,9,9","+0150,1","+0090,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10210,1,99999,9",,,"MET056METAR MMLM 031551Z 00000KT 10SM SKC 15/09 A3015 RMK HZY=",
"76361599999","2020-01-03T16:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","010,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0180,1","+0090,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10213,1,99999,9",,,"MET056METAR MMLM 031640Z 01009KT 10SM SKC 18/09 A3016 RMK HZY=",
"76361599999","2020-01-03T17:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","360,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0190,1","+0090,1","10214,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10213,1,99999,9",,,"MET063METAR MMLM 031740Z 36009KT 10SM SKC 19/09 A3016 RMK SLP214 HZY=",
"76361599999","2020-01-03T18:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","350,1,N,0051,1","22000,1,9,N","016093,1,9,9","+0210,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10207,1,99999,9",,,"MET056METAR MMLM 031841Z 35010KT 10SM SKC 21/08 A3014 RMK HZY=",
