"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"76361599999","2025-01-02T14:55:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","999,9,C,0000,1","99999,9,9,N","002414,1,9,9","+0110,1","+0100,1","99999,9","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,06706,1,99,9,99,9","10169,1,99999,9","11,1","MET084SPECI MMLM 021455Z 00000KT 1 1/2SM BCFG SCT220 11/10 A3003 RMK 8/001 VSBY LWR E 1SM=",
"76361599999","2025-01-02T15:11:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","999,9,C,0000,1","06706,1,C,N","008047,1,9,9","+0130,1","+0120,1","99999,9","07,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10173,1,99999,9","40,1","MET065SPECI MMLM 021511Z 00000KT 5SM VCFG BKN220 13/12 A3004 RMK 8/001=",
"76361599999","2025-01-02T15:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0015,1","06706,1,C,N","009656,1,9,9","+0150,1","+0150,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10176,1,99999,9",,"MET064METAR MMLM 021546Z 32003KT 6SM BKN220 15/15 A3005 RMK 8/008 HZY=",
"76361599999","2025-01-02T16:13:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","330,1,N,0026,1","06706,1,C,N","012875,1,9,9","+0180,1","+0170,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10179,1,99999,9",,"MET064SPECI MMLM 021613Z 33005KT 8SM BKN220 18/17 A3006 RMK 8/008 HZY=",
"76361599999","2025-01-02T16:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0051,1","06706,1,C,N","012875,1,9,9","+0200,1","+0160,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10179,1,99999,9",,"MET064METAR MMLM 021641Z 31010KT 8SM BKN220 20/16 A3006 RMK 8/008 HZY=",
"76361599999","2025-01-02T17:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0051,1","06706,1,C,N","012875,1,9,9","+0220,1","+0140,1","10171,1","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10179,1,99999,9",,"MET072METAR MMLM 021744Z 33010KT 8SM BKN220 22/14 A3006 RMK SLP1710 8/008 HZY=",
"76361599999","2025-01-02T18:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0046,1","06706,1,C,N","012875,1,9,9","+0230,1","+0140,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10173,1,99999,9",,"MET064METAR MMLM 021841Z 30009KT 8SM BKN220 23/14 A3004 RMK 8/008 HZY=",
"76361599999","2025-01-02T19:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0067,1","06706,1,C,N","012875,1,9,9","+0250,1","+0120,1","99999,9","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10159,1,99999,9",,"MET064METAR MMLM 021943Z 30013KT 8SM BKN220 25/12 A3000 RMK 8/008 HZY=",
"76361599999","2025-01-02T20:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0062,1","06706,1,C,N","012875,1,9,9","+0260,1","+0140,1","10153,1","07,1,+06706,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,06706,1,99,9,99,9","10152,1,99999,9",,"MET071METAR MMLM 022043Z 29012KT 8SM BKN220 26/14 A2998 RMK SLP153 8/008 HZY=",
"76361599999","2025-01-02T21:41:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0062,1","07620,1,C,N","012875,1,9,9","+0250,1","+0140,1","99999,9","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10149,1,99999,9",,"MET064METAR MMLM 022141Z 30012KT 8SM BKN250 25/14 A2997 RMK 8/008 HZY=",
"76361599999","2025-01-02T22:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0057,1","07620,1,C,N","012875,1,9,9","+0250,1","+0130,1","99999,9","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10146,1,99999,9",,"MET064METAR MMLM 022244Z 29011KT 8SM BKN250 25/13 A2996 RMK 8/008 HZY=",
"76361599999","2025-01-02T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0046,1","07620,1,C,N","012875,1,9,9","+0230,1","+0140,1","10146,1","07,1,+07620,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,07620,1,99,9,99,9","10146,1,99999,9",,"MET071METAR MMLM 022340Z 28009KT 8SM BKN250 23/14 A2996 RMK SLP146 8/008 HZY=",
