"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","OC1","REM","EQD"
"76361599999","2024-01-02T14:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","00762,1,C,N","011265,1,9,9","+0160,1","+0140,1","10204,1",,"07,1,+00762,1,06,1","07,1,+06096,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00762,1,99,9,99,9","10203,1,99999,9",,,"MET078METAR MMLM 021440Z 00000KT 7SM BKN025 BKN200 16/14 A3013 RMK SLP204 8/508 HZY=",
"76361599999","2024-01-02T15:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","06706,1,C,N","011265,1,9,9","+0170,1","+0150,1","99999,9",,"02,1,+00610,1,06,1","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10207,1,99999,9","40,1",,"MET072METAR MMLM 021540Z 00000KT 7SM VCFG FEW020 SCT220 17/15 A3014 RMK 8/501=",
"76361599999","2024-01-02T16:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","340,1,N,0021,1","06706,1,C,N","012875,1,9,9","+0200,1","+0140,1","99999,9",,"02,1,+00610,1,06,1","04,1,+06706,1,00,1",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10213,1,99999,9",,,"MET071METAR MMLM 021640Z 34004KT 8SM FEW020 SCT220 20/14 A3016 RMK 8/501 HZY=",
"76361599999","2024-01-02T17:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","340,1,N,0036,1","99999,9,9,N","016093,1,9,9","+0220,1","+0130,1","10201,1",,"02,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10210,1,99999,9",,,"MET073METAR MMLM 021740Z 34007KT 10SM FEW220 22/13 A3015 RMK SLP2010 8/001 HZY=",
"76361599999","2024-01-02T18:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0026,1","99999,9,9,N","016093,1,9,9","+0230,1","+0120,1","99999,9",,"02,1,+00762,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10200,1,99999,9",,,"MET065METAR MMLM 021840Z 33005KT 10SM FEW025 23/12 A3012 RMK 8/100 HZY=",
"76361599999","2024-01-02T19:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0036,1","99999,9,9,N","016093,1,9,9","+0230,1","+0110,1","99999,9",,"02,1,+00610,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,"MET065METAR MMLM 021940Z 32007KT 10SM FEW020 23/11 A3009 RMK 8/100 HZY=",
"76361599999","2024-01-02T20:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0046,1","99999,9,9,N","016093,1,9,9","+0240,1","+0090,1","10171,1",,"02,1,+00762,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10179,1,99999,9",,,"MET073METAR MMLM 022040Z 30009KT 10SM FEW025 24/09 A3006 RMK SLP1710 8/100 HZY=",
"76361599999","2024-01-02T21:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0062,1","99999,9,9,N","016093,1,9,9","+0240,1","+0080,1","99999,9",,"02,1,+00762,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10176,1,99999,9",,,"MET065METAR MMLM 022142Z 32012KT 10SM FEW025 24/08 A3005 RMK 8/100 HZY=",
"76361599999","2024-01-02T22:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0067,1","99999,9,9,N","016093,1,9,9","+0230,1","+0080,1","99999,9",,"02,1,+00762,1,08,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00762,1,99,9,99,9","10176,1,99999,9",,,"MET065METAR MMLM 022242Z 29013KT 10SM FEW025 23/08 A3005 RMK 8/100 HZY=",
"76361599999","2024-01-02T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","320,1,N,0077,1","22000,1,9,N","016093,1,9,9","+0220,1","+0080,1","10173,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10173,1,99999,9",,,"MET059METAR MMLM 022340Z 32015KT 10SM SKC 22/08 A3004 RMK SLP173=",
"76361599999","2024-01-03T00:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0062,1","22000,1,9,N","012875,1,9,9","+0200,1","+0100,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,1,99999,9",,,"MET055METAR MMLM 030046Z 29012KT 8SM SKC 20/10 A3005 RMK HZY=",
"76361599999","2024-01-03T01:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0051,1","22000,1,9,N","012875,1,9,9","+0180,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,1,99999,9",,,"MET047METAR MMLM 030140Z 30010KT 8SM SKC 18/11 A3007=",
"76361599999","2024-01-03T02:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0036,1","22000,1,9,N","012875,1,9,9","+0170,1","+0110,1","10187,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,,"MET058METAR MMLM 030240Z 29007KT 8SM SKC 17/11 A3008 RMK SLP187=",
"76361599999","2024-01-03T03:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0051,1","99999,9,9,N","012875,1,9,9","+0170,1","+0110,1","99999,9",,"02,1,+06706,1,00,1",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06706,1,99,9,99,9","10186,1,99999,9",,,"MET060METAR MMLM 030342Z 30010KT 8SM FEW220 17/11 A3008 RMK 8/001=",
"76361599999","2024-01-03T04:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0041,1","22000,1,9,N","012875,1,9,9","+0170,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,,"MET047METAR MMLM 030440Z 31008KT 8SM SKC 17/11 A3008=",
"76361599999","2024-01-03T13:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","011265,1,9,9","+0110,1","+0090,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10169,1,99999,9","40,1",,"MET060METAR MMLM 031344Z 00000KT 7SM VCFG SKC 11/09 A3003 RMK RTS=",
"76361599999","2024-01-03T14:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0021,1","22000,1,9,N","011265,1,9,9","+0120,1","+0090,1","10177,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,1,99999,9","40,1",,"MET063METAR MMLM 031440Z 28004KT 7SM VCFG SKC 12/09 A3005 RMK SLP177=",
"76361599999","2024-01-03T15:48:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0031,1","22000,1,9,N","012875,1,9,9","+0160,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,,"MET055METAR MMLM 031548Z 33006KT 8SM SKC 16/12 A3008 RMK HZY=",
"76361599999","2024-01-03T16:50:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0036,1","22000,1,9,N","012875,1,9,9","+0190,1","+0110,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10183,1,99999,9",,,"MET055METAR MMLM 031650Z 31007KT 8SM SKC 19/11 A3007 RMK HZY=",
"76361599999","2024-01-03T17:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0041,1","22000,1,9,N","016093,1,9,9","+0210,1","+0090,1","10171,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10179,1,99999,9",,,"MET064METAR MMLM 031742Z 31008KT 10SM SKC 21/09 A3006 RMK SLP1710 HZY=",
"76361599999","2024-01-03T18:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0057,1","22000,1,9,N","016093,1,9,9","+0220,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10173,1,99999,9",,,"MET056METAR MMLM 031842Z 33011KT 10SM SKC 22/08 A3004 RMK HZY=",
"76361599999","2024-01-03T19:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","340,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0230,1","+0080,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10163,1,99999,9",,,"MET056METAR MMLM 031940Z 34009KT 10SM SKC 23/08 A3001 RMK HZY=",
"76361599999","2024-01-03T21:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","330,1,N,0062,1","22000,1,9,N","016093,1,9,9","+0240,1","+0060,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,,"MET048METAR MMLM 032146Z 33012KT 10SM SKC 24/06 A2996=",
"76361599999","2024-01-03T22:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0072,1","22000,1,9,N","016093,1,9,9","+0240,1","+0070,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,,"MET048METAR MMLM 032240Z 29014KT 10SM SKC 24/07 A2996=",
"76361599999","2024-01-03T23:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0077,1","22000,1,9,N","016093,1,9,9","+0220,1","+0100,1","10149,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10149,1,99999,9",,,"MET059METAR MMLM 032340Z 29015KT 10SM SKC 22/10 A2997 RMK SLP149=",
"76361599999","2024-01-04T00:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0057,1","22000,1,9,N","016093,1,9,9","+0200,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10156,1,99999,9",,,"MET048METAR MMLM 040040Z 29011KT 10SM SKC 20/12 A2999=",
"76361599999","2024-01-04T01:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0041,1","22000,1,9,N","016093,1,9,9","+0180,1","+0120,1","99999,9",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10159,1,99999,9",,,"MET048METAR MMLM 040142Z 29008KT 10SM SKC 18/12 A3000=",
"76361599999","2024-01-04T02:45:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0031,1","22000,1,9,N","016093,1,9,9","+0160,1","+0120,1","10163,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10163,1,99999,9",,,"MET059METAR MMLM 040245Z 30006KT 10SM SKC 16/12 A3001 RMK SLP163=",
